RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
77,7,Terry McLaurin,WAS,WR31,14,3 out of 5 stars,-
78,7,Keenan Allen,CHI,WR32,7,4 out of 5 stars,-
79,7,David Montgomery,DET,RB18,5,3 out of 5 stars,-
80,7,Aaron Jones,MIN,RB19,6,3 out of 5 stars,-
81,7,Rhamondre Stevenson,NE,RB20,14,2 out of 5 stars,-
82,7,Daniel Jones,NYG,QB26,11,2 out of 5 stars,-
83,7,James Conner,ARI,RB21,11,2 out of 5 stars,-
84,7,Dalton Kincaid,BUF,TE5,12,2 out of 5 stars,-
85,7,Chris Godwin,TB,WR33,11,3 out of 5 stars,-
86,7,Zamir White,LV,RB22,10,3 out of 5 stars,-
87,7,Najee Harris,PIT,RB23,9,4 out of 5 stars,-
88,7,Calvin Ridley,TEN,WR34,5,4 out of 5 stars,-
89,7,D'Andre Swift,CHI,RB24,7,2 out of 5 stars,-
90,7,Diontae Johnson,CAR,WR35,11,5 out of 5 stars,-
91,7,Jayden Reed,GB,WR36,10,4 out of 5 stars,-
92,7,Raheem Mostert,MIA,RB25,6,3 out of 5 stars,-
93,7,George Kittle,SF,TE6,9,4 out of 5 stars,-
94,7,Rashee Rice,KC,WR37,6,3 out of 5 stars,-
95,7,Bryce Young,CAR,QB27,11,5 out of 5 stars,-
96,7,Kyle Pitts,ATL,TE7,12,3 out of 5 stars,-
97,7,Tony Pollard,TEN,RB26,5,3 out of 5 stars,-
98,7,Russell Wilson,PIT,QB28,9,2 out of 5 stars,-
99,7,DeAndre Hopkins,TEN,WR38,5,4 out of 5 stars,-
100,7,Hollywood Brown,KC,WR39,6,3 out of 5 stars,-
101,8,Jaylen Warren,PIT,RB27,9,4 out of 5 stars,-
102,8,Brian Robinson Jr.,WAS,RB28,14,3 out of 5 stars,-
103,8,Evan Engram,JAC,TE8,12,3 out of 5 stars,-
104,8,Zack Moss,CIN,RB29,12,3 out of 5 stars,-
105,8,Xavier Worthy,KC,WR40,6,3 out of 5 stars,-
106,8,Javonte Williams,DEN,RB30,14,4 out of 5 stars,-
107,8,Christian Watson,GB,WR41,10,4 out of 5 stars,-
108,8,Devin Singletary,NYG,RB31,11,3 out of 5 stars,-
109,8,Jordan Addison,MIN,WR42,6,3 out of 5 stars,-
110,8,Jaxon Smith-Njigba,SEA,WR43,10,3 out of 5 stars,-
111,8,Jake Ferguson,DAL,TE9,7,2 out of 5 stars,-
112,8,Jonathon Brooks,CAR,RB32,11,4 out of 5 stars,-
113,8,David Njoku,CLE,TE10,10,3 out of 5 stars,-
114,8,Tyjae Spears,TEN,RB33,5,3 out of 5 stars,-
115,8,Courtland Sutton,DEN,WR44,14,2 out of 5 stars,-
